2026-05-14 22:45:29 | Temp: 25.26°C | Hum: 59.61% | Vent: False | Riego: False
2026-05-14 22:45:31 | Temp: 25.33°C | Hum: 59.92% | Vent: False | Riego: False
2026-05-14 22:45:33 | Temp: 24.94°C | Hum: 59.73% | Vent: False | Riego: False
2026-05-14 22:45:35 | Temp: 24.93°C | Hum: 59.38% | Vent: False | Riego: False
2026-05-14 22:45:37 | Temp: 24.53°C | Hum: 59.71% | Vent: False | Riego: False
2026-05-14 22:45:39 | Temp: 24.8°C | Hum: 59.58% | Vent: False | Riego: False
2026-05-14 22:45:41 | Temp: 25.15°C | Hum: 59.82% | Vent: False | Riego: False
2026-05-14 22:45:43 | Temp: 25.64°C | Hum: 59.56% | Vent: False | Riego: False
2026-05-14 22:45:45 | Temp: 25.55°C | Hum: 59.87% | Vent: False | Riego: False
2026-05-14 22:45:48 | Temp: 25.34°C | Hum: 59.92% | Vent: False | Riego: False
2026-05-14 22:45:50 | Temp: 25.15°C | Hum: 60.32% | Vent: False | Riego: False
2026-05-14 22:45:52 | Temp: 25.34°C | Hum: 60.59% | Vent: False | Riego: False
2026-05-14 22:45:54 | Temp: 24.94°C | Hum: 60.56% | Vent: False | Riego: False
2026-05-14 22:45:56 | Temp: 24.96°C | Hum: 60.59% | Vent: False | Riego: False
2026-05-14 22:45:58 | Temp: 25.0°C | Hum: 60.67% | Vent: False | Riego: False
2026-05-14 22:46:00 | Temp: 25.27°C | Hum: 60.73% | Vent: False | Riego: False
2026-05-14 22:46:02 | Temp: 25.46°C | Hum: 60.64% | Vent: False | Riego: False
2026-05-14 22:46:04 | Temp: 25.14°C | Hum: 60.38% | Vent: False | Riego: False
2026-05-14 22:46:06 | Temp: 25.13°C | Hum: 60.68% | Vent: False | Riego: False
2026-05-14 22:46:08 | Temp: 25.23°C | Hum: 60.3% | Vent: False | Riego: False
2026-05-14 22:46:10 | Temp: 24.76°C | Hum: 60.6% | Vent: False | Riego: False
2026-05-14 22:46:12 | Temp: 24.79°C | Hum: 60.19% | Vent: False | Riego: False
2026-05-14 22:46:14 | Temp: 24.88°C | Hum: 59.98% | Vent: False | Riego: False
2026-05-14 22:46:16 | Temp: 24.43°C | Hum: 59.87% | Vent: False | Riego: False
2026-05-14 22:46:18 | Temp: 24.46°C | Hum: 60.33% | Vent: False | Riego: False
2026-05-14 22:46:20 | Temp: 24.19°C | Hum: 60.78% | Vent: False | Riego: False
2026-05-14 22:46:22 | Temp: 23.81°C | Hum: 60.81% | Vent: False | Riego: False
2026-05-14 22:46:24 | Temp: 23.67°C | Hum: 60.45% | Vent: False | Riego: False
2026-05-14 22:46:26 | Temp: 23.38°C | Hum: 60.07% | Vent: False | Riego: False
2026-05-14 22:46:28 | Temp: 23.44°C | Hum: 59.9% | Vent: False | Riego: False
2026-05-14 22:46:30 | Temp: 23.64°C | Hum: 59.42% | Vent: False | Riego: False
2026-05-14 22:46:32 | Temp: 23.8°C | Hum: 59.44% | Vent: False | Riego: False
2026-05-14 22:46:34 | Temp: 23.4°C | Hum: 59.18% | Vent: False | Riego: False
2026-05-14 22:46:36 | Temp: 23.85°C | Hum: 59.56% | Vent: False | Riego: False
2026-05-14 22:46:38 | Temp: 23.99°C | Hum: 59.7% | Vent: False | Riego: False
2026-05-14 22:46:40 | Temp: 23.94°C | Hum: 59.84% | Vent: False | Riego: False
2026-05-14 22:46:42 | Temp: 23.5°C | Hum: 60.0% | Vent: False | Riego: False
2026-05-14 22:46:44 | Temp: 23.35°C | Hum: 59.8% | Vent: False | Riego: False
2026-05-14 22:46:46 | Temp: 22.93°C | Hum: 59.6% | Vent: False | Riego: False
2026-05-14 22:46:48 | Temp: 22.68°C | Hum: 59.12% | Vent: False | Riego: False
2026-05-14 22:46:50 | Temp: 22.66°C | Hum: 59.24% | Vent: False | Riego: False
2026-05-14 22:46:52 | Temp: 22.4°C | Hum: 58.83% | Vent: False | Riego: False
2026-05-14 23:16:11 | Temp: 25.1°C | Hum: 59.53% | Vent: False | Riego: False
2026-05-14 23:16:13 | Temp: 25.47°C | Hum: 59.35% | Vent: False | Riego: False
2026-05-14 23:19:59 | Temp: 25.28°C | Hum: 59.75% | Vent: False | Riego: False
2026-05-14 23:20:01 | Temp: 25.65°C | Hum: 59.32% | Vent: False | Riego: False
2026-05-15 09:41:44 | Temp: 24.64°C | Hum: 59.71% | Vent: False | Riego: False
2026-05-15 09:41:46 | Temp: 24.67°C | Hum: 59.88% | Vent: False | Riego: False
2026-05-15 09:41:48 | Temp: 24.21°C | Hum: 60.12% | Vent: False | Riego: False
2026-05-15 09:41:51 | Temp: 24.43°C | Hum: 60.5% | Vent: False | Riego: False
2026-05-15 09:41:53 | Temp: 24.4°C | Hum: 60.21% | Vent: False | Riego: False
2026-05-15 09:41:55 | Temp: 24.08°C | Hum: 59.81% | Vent: False | Riego: False
2026-05-15 09:41:57 | Temp: 24.54°C | Hum: 60.14% | Vent: False | Riego: False
2026-05-15 09:41:59 | Temp: 24.09°C | Hum: 60.05% | Vent: False | Riego: False
2026-05-15 09:42:01 | Temp: 24.51°C | Hum: 60.23% | Vent: False | Riego: False
2026-05-15 09:42:03 | Temp: 24.29°C | Hum: 60.65% | Vent: False | Riego: False
2026-05-15 09:42:05 | Temp: 24.07°C | Hum: 61.03% | Vent: False | Riego: False
2026-05-15 09:42:07 | Temp: 24.04°C | Hum: 61.32% | Vent: False | Riego: False
2026-05-15 09:42:09 | Temp: 24.31°C | Hum: 61.34% | Vent: False | Riego: False
2026-05-15 09:42:11 | Temp: 24.11°C | Hum: 61.65% | Vent: False | Riego: False
2026-05-15 09:42:13 | Temp: 23.84°C | Hum: 61.58% | Vent: False | Riego: False
